avg_cosine_center,cosine_with_top1,cosine_with_top2,cosine_with_top3,cosine_with_top4,cosine_with_top5,device_id,url
0.099,0.38,0.19,0.17,0.14,0.12,fa592d0be45450cc7afec21cf14ac80c24711f20,http://www.xinhuanet.com/world/2018-06/22/c_129898284.htm
0.13500000000000004,0.67,0.2,0.16,0.12,0.08,398056e5411da73ad3735a56c9a854b47b08da6a,http://www.xinhuanet.com/world/2018-06/21/c_129897696.htm
-100.0,,,,,,d4cfde9f,https://www.miaopai.com/show/-AsygtlJa7DxZxBymL~ovskPlh90aiqdMTpmCg__.htm
0.0029999999999999983,0.15,0.13,0.1,0.02,0.01,3032c84a1b4d6ec4e7a27be1aedc7f9963374d48,http://news.xhby.net/system/2018/07/03/030851699.shtml
0.28,0.67,0.41000000000000003,0.27,0.26,0.25,763bfa2d99a66c4ffd0e9baf8457d4f700b797c3,http://zhuanlan.zhihu.com/p/38289392?utm_campaign=rss&utm_medium=rss&utm_source=rss&utm_content=title
0.30799999999999994,0.44,0.38,0.33,0.31,0.3,bb9624ac986827efcf5c227c2bffaa83d854c135,https://www.thepaper.cn/newsDetail_forward_2216491
0.084,0.36,0.17,0.15,0.06,0.05,d4773c33f13803f0ba579cec37be1cf9f6bfe87c,http://mobile2.itanzi.com/api2/a/926559?for=rss&rss=chouti
0.277,0.46,0.45,0.33,0.3,0.27,52d7b4608d3c9386a2f9ca66444005e338c94bd4,https://www.jiemian.com/article/2262005.html
0.07200000000000001,0.36,0.25,0.15,0.12,0.03,0d7feb9069b3286ab624b702682fd53f0eede674,http://society.yunnan.cn/html/2018-06/30/content_5275064.htm
0.244,0.42,0.38,0.36,0.35000000000000003,0.24,8f4ad9e3f914fc59e0898de82711b227d270ff0c,http://news.cri.cn/20180630/bfdb8878-395e-c972-47b5-9f3ffc5a4f48.html
0.12399999999999997,0.41000000000000003,0.22,0.17,0.16,0.15,70d6970cd8d278dc9196418cbc005b3ad4d4a7dc,https://c.m.163.com/news/a/DLQR7BBG0529EPGJ.html?spss=newsapp&from=timeline&isappinstalled=0
0.278,0.46,0.43,0.33,0.32,0.3,8e68ffe9246ca6f91702951bcb9cf6fefce99dd0,https://mp.weixin.qq.com/s?__biz=MzU3NTA2OTc2Nw==&mid=2247531122&idx=2&sn=fc520c01181ddc3042981bb291309b50&chksm=fd2af15aca5d784ccdb18e52517cf5fccb66e0174228980ca22efc9b108c5a0e0ad1f15ad986#rd
0.016999999999999994,0.16,0.15,0.12,0.11,0.0,2907ed3996562cfa9bbb29d4c6d8f994a4725e0d,https://mp.weixin.qq.com/s/Sv5NDzxkeKHExIdLFE4sww
0.101,0.33,0.24,0.14,0.1,0.09,KWG5T16C17061105,http://www.shejipi.com/193854.html
0.18,0.18,,,,,d17ef258fbe12890424e9fd16ef8b48f15b566e2,https://www.jiemian.com/article/2273232.html
0.15300000000000002,0.61,0.26,0.15,0.13,0.1,3f63b84,https://www.jiemian.com/article/2261749.html
-100.0,,,,,,af94d485,https://mp.weixin.qq.com/s/DmUL6HYff-fm5RNC-6Ntqg
0.146,0.43,0.25,0.22,0.18,0.14,2929e392e0aaf265186a20d4f442f21d78648364,http://news.mtime.com/2018/07/03/1582071.html
-100.0,,,,,,2168d958c2b6fa2b192ef0698570c8800c68d3dd,https://wallstreetcn.com/articles/3342300
0.18500000000000003,0.56,0.31,0.23,0.15,0.14,203284b8,http://tech.163.com/18/0627/14/DLAIKJRM00097U7S.html
0.22199999999999998,0.45,0.45,0.42,0.27,0.2,IVS48SRGLFUKSSPN,http://www.tmtpost.com/nictation/3314322.html
0.196,0.39,0.36,0.27,0.22,0.2,d84bf862e216f9f11b86dadd8a05ad1a7bd9df3a,https://www.jiemian.com/article/2246402.html
0.24800000000000005,0.55,0.54,0.31,0.27,0.25,7fd2037dbb000cd3a3cf92c48588188f234a54ba,https://bbs.hupu.com/22663216.html?share_from=kqapp
0.17900000000000002,0.56,0.28,0.24,0.22,0.16,988919394d3648535a,http://news.enorth.com.cn/system/2018/07/02/035764939.shtml
0.267,0.48,0.45,0.37,0.3,0.25,d526625c03b8e31b79221189dd6cf448871202cd,https://www.g-cores.com/articles/99723
-100.0,,,,,,90032738263dbcc3aa6d4b87266a72c3819c55c1,http://sputniknews.cn/videoclub/201806271025753466/
0.137,0.44,0.35000000000000003,0.19,0.17,0.16,a8ffb8892108a46b95a96e311ce1e44f899bc2e6,https://www.jiemian.com/article/2248814.html
-100.0,,,,,,adc7b18e24912f299fa4b0ffef521a2cea0327ac,https://www.douban.com/doubanapp/dispatch?uri=/note/672571503/&dt_dapp=1
0.136,0.52,0.21,0.19,0.18,0.1,S9B7N17508003047,https://www.sohu.com/a/237767644_162522
-100.0,,,,,,5JPDU17715010667,http://k.sina.com.cn/article_6524891965_184e9f33d00100aobn.html?from=sports&subch=vollyball
0.23699999999999996,0.52,0.36,0.29,0.25,0.25,0ab6b4a72e0ceccc7d2c9a0aace4523c4067110c,http://news.sina.com.cn/s/2018-06-29/doc-iheqpwqy8988471.shtml
0.087,0.62,0.08,0.08,0.06,0.03,7b6585e,https://www.dongqiudi.com/archive/710575.html
0.199,0.41000000000000003,0.4,0.28,0.25,0.17,49d061770f4401a42e8a6387696c7229b378f040,http://www.thepaper.cn/newsDetail_forward_2213386
0.193,0.53,0.41000000000000003,0.28,0.27,0.17,df668d0d,http://news.fznews.com.cn/dsxw/20180621/5b2b1e6ed7944.shtml
0.22100000000000003,0.46,0.38,0.33,0.32,0.28,b5833610,http://news.e23.cn/yule/2018-06-28/2018062800308.html
0.24200000000000005,0.5700000000000001,0.29,0.25,0.22,0.22,4156334556333098,http://news.163.com/18/0624/17/DL374FD90001875P.html
-100.0,,,,,,7f8dc3ae48953929cafb1797f88f48b19faf1ef9,https://house.ettoday.net/news/1202924?from=chouti_et_news
-100.0,,,,,,DWH9X17331W00292,http://sputniknews.cn/media-worldcup-2018/201806211025709957/
0.171,0.5,0.22,0.21,0.19,0.16,e344f9d6a2254d3a6c7ac2b33c3f27dfe0514e05,http://go.rss.sina.com.cn/redirect.php?url=http://news.sina.com.cn/w/2018-06-21/doc-ihefphqm1588960.shtml
-100.0,,,,,,4b7ae04d2d0581e67168ea8496b2e0a41c32743a,https://m.toutiaoimg.cn/group/6571686647241376259/?iid=36682654934&app=news_article&timestamp=1530160231&utm_source=sms&utm_medium=toutiao_android&utm_campaign=client_share
0.139,0.54,0.31,0.14,0.13,0.1,DLQ0216326006466,http://world.huanqiu.com/exclusive/2018-06/12319567.html
0.11300000000000002,0.2,0.16,0.16,0.16,0.1,0d7feb9069b3286ab624b702682fd53f0eede674,https://bbs.hupu.com/22809380.html
0.17600000000000002,0.43,0.22,0.2,0.17,0.16,38297513bcc7d67dd25ac54e99d6ed943a1e533d,http://world.kbs.co.kr/chinese/news/news_IK_detail.htm?No=59684
0.147,0.51,0.24,0.21,0.17,0.16,A5R4C17A27002879,http://tech.qq.com/a/20180622/035433.htm
0.257,0.47000000000000003,0.43,0.32,0.29,0.24,cba84056d9b4144c7ceed19dbd5bc1e49cad5229,http://news.ifeng.com/a/20180627/58906016_0.shtml
0.17900000000000002,0.45,0.27,0.25,0.18,0.18,44f8f5454bd23b838708b5766456d8172f89d593,http://sputniknews.cn/foreignmedia/201806261025736380/
0.178,0.33,0.29,0.27,0.22,0.22,21abf07e,http://www.dongqiudi.com/article/713203
0.19249999999999998,0.3,0.25,0.11,0.11,,VFNDU16811008223,https://www.swissinfo.ch/chi/business/中瑞经济_中国工商银行苏黎世分行在瑞士开业/44209542
0.1575,0.32,0.23,0.08,0.0,,e6fa6a43,http://world.huanqiu.com/exclusive/2018-06/12320811.html
0.191,0.44,0.35000000000000003,0.22,0.22,0.18,e6d4114890c0f89a785a0326da969ef907a77e91,http://www.chinanews.com/gn/2018/06-29/8551010.shtml
0.24400000000000005,0.48,0.42,0.38,0.29,0.23,S47SDYRWZSMV4HEM,https://www.zuinow.com/n9378345.html
0.18,0.55,0.29,0.26,0.16,0.15,7c157e0376ad71daf2c88338e670d0e009e966ab,http://ent.sina.com.cn/s/m/2018-06-28/doc-iheqpwqy3041571.shtml
0.187,0.5,0.39,0.27,0.25,0.22,28e4f701,https://www.zuinow.com/n9343071.html
0.269,0.55,0.38,0.33,0.3,0.3,2a63aad14314e23dde6e5ecef45c6c04f461ccc8,http://news.sina.com.cn/s/2018-06-26/doc-ihencxtu3016263.shtml
0.10600000000000002,0.35000000000000003,0.29,0.16,0.07,0.06,5EF0218521000727,http://www.tmtpost.com/3325605.html
0.181,0.56,0.47000000000000003,0.25,0.19,0.16,8533873e2296101a040b9ef756da68091ffdff8d,http://tech.qq.com/a/20180703/007224.htm
-100.0,,,,,,32e65d299165b045c3749abf0fd213a83a03bf4a,http://miaopai.com/show/72Wu8R0ZkNHa08rtgNyRGKeZ1uZxGZlKbKP5Ng__.htm?from=1085293010&wm=3333_2001&weiboauthoruid=
0.12600000000000003,0.22,0.2,0.18,0.17,0.14,57b863aa,http://news.xhby.net/system/2018/06/22/030848207.shtml
0.158,0.44,0.36,0.25,0.17,0.16,4dfab5db464f5d75399d15091cccd1a2def4f46e,http://www.yangtse.com/app/jiangsu/kanjiangsu/2018-06-30/581456.html
0.10700000000000001,0.61,0.16,0.1,0.08,0.06,9e7f5fb452f36907da0f21059277d543407a8d2f,http://m.techweb.com.cn/marticle/2018-07-04/2682505.shtml
0.191,0.47000000000000003,0.46,0.36,0.21,0.15,ced60f0a8f2fb9bbb7587402376e08069b6de002,http://news.dayoo.com/society/201806/26/140000_52215175.htm
0.21500000000000002,0.46,0.35000000000000003,0.3,0.27,0.26,3HX7N17506001132,http://www.ixiqi.com/archives/111329
0.31000000000000005,0.48,0.41000000000000003,0.34,0.34,0.3,5fe59303c3bc3c5cff8011563ba9de1fc1df88df,http://world.huanqiu.com/exclusive/2018-07/12409353.html
0.153,0.38,0.24,0.23,0.19,0.18,6f1493046bd2ef1e53da2ead934d08441ba49e99,https://www.zuinow.com/n9396252.html
0.28700000000000003,0.55,0.41000000000000003,0.4,0.35000000000000003,0.28,5b190da76fd21b21c794827867dd44d1356df252,https://www.zuinow.com/n9324793.html
0.17300000000000004,0.47000000000000003,0.34,0.22,0.19,0.14,610a4788,http://news.china.com/socialgd/10000169/20180628/32593291.html?newsbaidu
0.041999999999999996,0.15,0.12,-0.01,-0.01,-0.04,Y2J7N17A21013263,https://www.ettoday.net/news/20180622/1196136.htm?from=chouti_et_news
0.179,0.6900000000000001,0.22,0.22,0.16,0.15,cda1f8fd82ad6e109d5e727ec592eac25e6620aa,https://www.dongqiudi.com/archive/710395.html
0.258,0.72,0.49,0.28,0.23,0.23,32dc99f6e78d8cf03204ef8e037d360c874d003b,http://www.thecover.cn/news/893128
0.14200000000000002,0.35000000000000003,0.22,0.19,0.15,0.12,9cb15728927dfaf69e5784eb40269b822645893f,https://www.ettoday.net/news/20180621/1195411.htm?from=chouti_et_news
0.3283333333333333,0.68,0.53,0.29,0.26,0.21,259bf7bce4d3aebc34fe645c8924b615535dd335,http://go.rss.sina.com.cn/redirect.php?url=http://blog.sina.com.cn/s/blog_477b716c0102xh2h.html
0.16600000000000004,0.62,0.35000000000000003,0.33,0.15,0.11,b67d2d0b4cb8fa59cf71f338efadc21b1645c2ab,https://mp.weixin.qq.com/s/-0yP7l7Ch4ey_q4SdEAIqg
0.15599999999999997,0.48,0.46,0.24,0.19,0.19,ZY223KDHLW,https://www.bilibili.com/video/av26086458/
-100.0,,,,,,CB512EGJ1E,http://www.bilibili.com/video/av25860654?share_medium=android&share_source=copy_link&bbid=39807EE5-8AB9-4926-AD0A-8DF0E8CE34BB2069infoc&ts=1530332334373
0.20200000000000004,0.48,0.36,0.29,0.28,0.21,9d83fa73,http://ent.163.com/18/0628/16/DLDCN83F00038FO9.html
0.23399999999999999,0.52,0.44,0.36,0.34,0.32,8e1e80432130525fdfebb18d4ad876f48dbbe3a4,http://ent.sina.com.cn/y/ygangtai/2018-07-01/doc-ihespqrx8093760.shtml
0.31857142857142856,0.45,0.44,0.42,0.42,0.18,90ec0378586cc34d7ca06aeef113f0a74e756a9e,http://bbs.tianya.cn/post-1095-719708-1.shtml?event=rss%7Crss_web
0.11699999999999999,0.37,0.28,0.19,0.13,0.1,976c3516cd0e12a866b79f962cf93f616cc636b5,https://money.163.com/18/0624/08/DL28FP0H00258169.html
0.273,0.47000000000000003,0.45,0.43,0.33,0.32,1cea6c5491b8ba601bf3129a1c3104d874b0ed95,http://bbs.tianya.cn/post-no11-4982308-1.shtml?event=rss%7Crss_web
0.259,0.72,0.4,0.39,0.33,0.3,1893d753dcc1c4a31116f888035e387345267544,http://health.rednet.cn/c/2018/07/03/4670084.htm
-100.0,,,,,,29f03d1,https://fd.zaih.com/topline/nbswczdmnfxgkljrguztamjqg4ytmnbogy2tcmzugq?utm_source=chouti
0.152,0.62,0.3,0.25,0.15,0.15,90032738263dbcc3aa6d4b87266a72c3819c55c1,https://www.jiemian.com/article/2267956.html
0.21600000000000003,0.39,0.31,0.3,0.27,0.21,630a11d0236bc742f8279299f57006e70210ad00,http://www.iyiou.com/p/75424
0.21600000000000003,0.4,0.35000000000000003,0.28,0.21,0.21,c03ad8c793604e5830cff2a43bb4a90c26f0bf25,https://www.jiemian.com/article/2262190.html
0.191,0.45,0.35000000000000003,0.18,0.17,0.16,e10a7b7a3aa1376c881370284611319301494e7e,http://news.163.com/18/0622/21/DKUDNG5C0001875P.html
0.11900000000000002,0.34,0.27,0.21,0.16,0.13,8e24ab63,http://finance.ifeng.com/a/20180625/16352511_0.shtml
0.20299999999999999,0.5700000000000001,0.35000000000000003,0.29,0.19,0.18,afcfbd97adf8ac6cd2c0aac70fb146553f5d7552,https://www.evget.com/article/2018/7/2/28122.html
0.203,0.39,0.38,0.32,0.25,0.24,210a33b7,http://m2.people.cn/r/MV8wXzExMTg0OTAxXzY3Nl8xNTI5Nzk2NTQ4
0.15,0.5,0.26,0.25,0.17,0.13,527b3b78e405f3e15c4796c133d37518028b2e44,http://finance.sina.com.cn/stock/s/2018-06-24/doc-iheirxyf1444147.shtml
0.231,0.38,0.36,0.34,0.32,0.21,47aaeaa607715107942e0e44f96f023324140877,http://www.tmtpost.com/nictation/3313851.html
0.22400000000000003,0.68,0.56,0.26,0.24,0.23,0aa6053a2e755a1d4b840296f8f883a1c30f328b,http://taiwan.huanqiu.com/article/2018-06/12324183.html
-100.0,,,,,,0d7feb9069b3286ab624b702682fd53f0eede674,https://tchina.kyodonews.net/news/2018/06/e0817652add7-aiib-.html
0.231,0.36,0.34,0.34,0.24,0.23,548bb8ec,https://www.thepaper.cn/newsDetail_forward_2211853
0.17400000000000002,0.38,0.29,0.28,0.18,0.17,FA75P1801972,https://voice.hupu.com/china/2319248.html
0.164,0.55,0.22,0.2,0.18,0.14,721QEDRG2K629,http://tech.ifeng.com/a/20180628/45041595_0.shtml
0.173,0.46,0.42,0.24,0.2,0.19,5f9c5d08d9158286fee72c1a0b59ba36c791a3b8,http://go.rss.sina.com.cn/redirect.php?url=http://news.sina.com.cn/s/2018-06-25/doc-ihencxtu0165802.shtml
0.197,0.34,0.26,0.26,0.23,0.22,7a5dd96ed51a7b98c1fdc20eb144d0ce7e85abb4,https://mp.weixin.qq.com/s/CS4c6fbTnHeWCijniL3VxQ
-100.0,,,,,,6a9646c37c967cf7253c0b3114cdf3cede07ec6f,https://www.ettoday.net/news/20180625/1198389.htm?from=chouti_et_news　
-100.0,,,,,,9fe11909358b3683f5f13d86101174f11e1d7786,https://www.ettoday.net/news/20180624/1198295.htm?from=chouti_et_news
0.272,0.63,0.42,0.35000000000000003,0.32,0.26,de66912e9c55a4dbd8891eaf9fe5a4737cf9fb4b,http://www.guancha.cn/TMT/2018_07_04_462639.shtml
0.227,0.63,0.46,0.46,0.26,0.25,69f449f4830c89b9acd848a415f48900ccfa19ce,https://www.jiemian.com/article/2279405.html
0.26999999999999996,0.54,0.43,0.4,0.34,0.3,43bbdd1f1f43c0339557484caf2cb68784c52882,http://www.thecover.cn/news/902306
0.203,0.4,0.34,0.3,0.27,0.22,630c6c4954d397cbaaee144ed95cf9a5eebf7cf2,https://www.jiemian.com/article/2274109.html
-100.0,,,,,,3HX7N16A28003986,http://www.infzm.com/content/136958
0.169,0.47000000000000003,0.45,0.35000000000000003,0.17,0.16,5JPDU17715010667,http://kuaixun.stcn.com/2018/0702/14356144.shtml
0.06600000000000002,0.28,0.15,0.13,0.08,0.06,28e4f701,http://sputniknews.cn/society/201806271025752722/
0.148,0.45,0.26,0.16,0.16,0.15,954c9fd4931e6e57a12c69278192d8ebe3a2b8fa,http://www.xinhuanet.com/world/2018-06/24/c_1123026131.htm
0.23600000000000004,0.41000000000000003,0.32,0.3,0.28,0.28,f476af53,http://health.huanqiu.com/health_news/2018-06/12332195.html
0.33399999999999996,0.44,0.41000000000000003,0.41000000000000003,0.4,0.37,e43dc0a136c3ba9469770c25b9d5c4737547106a,http://go.rss.sina.com.cn/redirect.php?url=http://news.sina.com.cn/s/2018-07-01/doc-ihespqrx8204402.shtml
0.14100000000000001,0.41000000000000003,0.2,0.2,0.18,0.17,EJL4C17508053196,http://www.ixiqi.com/archives/111284
0.23999999999999994,0.59,0.45,0.38,0.26,0.23,3c9b30a6ee2f23c6a86546c3ca77f4b7d5aa5ce3,http://go.rss.sina.com.cn/redirect.php?url=http://news.sina.com.cn/s/2018-07-03/doc-ihevauxi2730451.shtml
0.20800000000000002,0.62,0.31,0.29,0.2,0.15,e434acdd,http://go.rss.sina.com.cn/redirect.php?url=http://news.sina.com.cn/o/2018-06-27/doc-iheqpwqx6870514.shtml
0.174,0.5,0.24,0.2,0.19,0.16,e8a6f77c6d20bf78bb39e74e385c2df38ddcd5c2,http://3g.163.com/all/article/DL7IV3VB05118EDB.html
0.181,0.45,0.28,0.25,0.21,0.17,9fcacf87a9ef6a0bf9584596c518c64c6a6aabeb,http://jsnews.jschina.com.cn/nj/a/201807/t20180703_1730426.shtml
-100.0,,,,,,bb6d4d637e1f84bc74be677cd6b0b8d137abc85f,https://cinehello.com/videos/3104
-100.0,,,,,,3439e59e,http://sputniknews.cn/russia_china_relations/201806201025698033/
0.067,0.31,0.19,0.1,0.08,0.03,584248bbc8b1dfc39d520ec9f502856eae5c7986,http://finance.sina.com.cn/roll/2018-06-24/doc-iheirxyf2527157.shtml
0.15857142857142859,0.48,0.28,0.14,0.09,0.05,M92QACPSYRG54,http://news.iqilu.com/china/gedi/2018/0703/3969509.shtml
0.14300000000000002,0.61,0.22,0.18,0.15,0.13,7038334b7ddc9e33f76e2b188e6021c6254f15ea,http://bbs.tianya.cn/post-333-1335076-1.shtml?event=rss%7Crss_web
0.22000000000000003,0.37,0.34,0.28,0.26,0.19,5bb9fe88,https://www.dongqiudi.com/archive/705125.html
0.302,0.47000000000000003,0.42,0.42,0.38,0.3,7326b0a6934fdeeda6d770358ab39b0e0320f38a,https://www.jiemian.com/article/2249473.html
-100.0,,,,,,70d6970cd8d278dc9196418cbc005b3ad4d4a7dc,https://asahichinese-j.com/cool_japan/[replace]_culture/11658816
0.16000000000000003,0.45,0.24,0.22,0.21,0.16,a97bbd51702e72fffe05c8420fe2638dbd02b23d,http://m2.people.cn/r/MV8wXzExMjA4OTQ0XzU4XzE1MzAxNTg5MjQ=
0.187,0.58,0.32,0.25,0.25,0.23,8f1fd306b2a4595726dcad6c4f8f96916abd3d1d,http://finance.sina.com.cn/stock/usstock/c/2018-06-25/doc-ihencxtt7650696.shtml
0.152,0.38,0.29,0.22,0.17,0.15,763bfa2d99a66c4ffd0e9baf8457d4f700b797c3,http://go.rss.sina.com.cn/redirect.php?url=http://news.sina.com.cn/w/2018-06-30/doc-ihespqrx3032687.shtml
0.147,0.47000000000000003,0.4,0.2,0.19,0.17,9a781a7430c75a5025f5b2e4e984afbbde3bd20b,http://www.cankaoxiaoxi.com/mil/20180624/2283960.shtml
0.24899999999999997,0.48,0.32,0.27,0.26,0.24,2609c3a457b693bd46e713d7b511df8413e16671,http://go.rss.sina.com.cn/redirect.php?url=http://news.sina.com.cn/s/2018-07-04/doc-ihevauxk0472780.shtml
0.16,0.49,0.35000000000000003,0.23,0.17,0.13,abf626280f4ee1b0f4df4e7ece7d9c07f01d0e93,http://go.rss.sina.com.cn/redirect.php?url=http://news.sina.com.cn/o/2018-06-21/doc-ihefphqm1693396.shtml
0.177,0.37,0.29,0.23,0.22,0.15,f7519321490f96c298f02318028fa548fa1db310,http://www.yangtse.com/app/zhongguo/2018-06-23/577984.html
0.23400000000000004,0.5,0.46,0.38,0.31,0.19,2be320583cb15acc0ffcb19410af1d5b1a768149,http://www.kankanews.com/a/2018-06-20/0038484933.shtml
0.184,0.43,0.25,0.22,0.19,0.18,14441530817a286a38760018ce1020d4bff574cb,https://www.zuinow.com/n9278097.html
0.20600000000000002,0.43,0.4,0.26,0.25,0.22,8FS7N16819010824,http://user.guancha.cn/main/content?id=23820&s=fwrmhtycwz
0.23700000000000002,0.46,0.33,0.26,0.25,0.25,fdaf7b4036b21f465ac527bdcaa662b601eff584,http://go.rss.sina.com.cn/redirect.php?url=http://news.sina.com.cn/o/2018-06-25/doc-ihencxtu0385773.shtml
0.35700000000000004,0.62,0.62,0.44,0.42,0.41000000000000003,473b6988ad7d4c635e1cadd5d3f8bbd77b433724,http://m2.people.cn/r/MV8wXzExMjE1NzA5XzY3Nl8xNTMwMjU5NDk2
